pool_id,type,question,option_a,option_b,option_c,option_d,correct,script,passage,difficulty
L001,listening,What does the woman want to do this weekend?,Go shopping,Visit her parents,Stay at home,Travel abroad,1,Woman: I'm planning to visit my parents this weekend. It's been a while since I last saw them.,,easy
L002,listening,Where is the man going?,To the library,To the gym,To the office,To the market,1,"Man: I need to work out. I haven't been to the gym in two weeks, so I'm heading there now.",,easy
L003,listening,What is the woman's problem?,She lost her keys,She missed the bus,She forgot her wallet,She is late for work,2,Woman: Oh no! I left home without my wallet. I can't pay for anything today.,,easy
L004,listening,What does the man suggest?,Taking a taxi,Walking to work,Calling a friend,Taking the subway,3,Man: Traffic is terrible today. I think taking the subway would be much faster than driving.,,easy
L005,listening,What time does the meeting start?,At 9:00 AM,At 10:00 AM,At 2:00 PM,At 3:00 PM,1,"Woman: Don't forget, the team meeting starts at ten o'clock sharp. Please be on time.",,easy
L006,listening,What is the man ordering?,A sandwich and juice,A burger and coffee,A salad and water,A pasta and tea,1,"Man: I'd like a cheeseburger and a large coffee, please. That's all for me.",,easy
L007,listening,Why is the woman calling?,To confirm a reservation,To cancel an appointment,To ask for directions,To make a complaint,0,"Woman: Hello, I'm calling to confirm my reservation for two people on Friday evening at seven.",,easy
L008,listening,What does the man want the woman to do?,Return a book,Lend him money,Help him move,Proofread his report,3,Man: I've just finished writing my report. Could you read through it and check for any errors before I submit it?,,easy
L009,listening,How does the woman feel about the presentation?,Excited,Nervous,Bored,Angry,1,Woman: I have to present in front of fifty people tomorrow. My hands are already shaking just thinking about it.,,easy
L010,listening,What is the weather like today?,Sunny and hot,Cold and windy,Rainy and cloudy,Warm and humid,2,Man: Don't forget your umbrella. It's been raining since morning and the sky looks really cloudy.,,easy
L011,listening,What did the woman buy at the store?,Bread and milk,Vegetables and fruits,Meat and fish,Snacks and drinks,1,Woman: I just got back from the market. I bought a lot of fresh vegetables and some fruits for the week.,,easy
L012,listening,What is the man's job?,A teacher,A doctor,An engineer,A chef,2,Man: I work on designing bridges and buildings. Being a civil engineer is challenging but very rewarding.,,easy
L013,listening,What does the woman recommend?,A new restaurant,A movie theater,A book store,A coffee shop,0,Woman: You should try the new Italian restaurant downtown. The pasta there is absolutely amazing.,,easy
L014,listening,What is the man's plan for tomorrow?,Work overtime,Visit a museum,Play football,Study for an exam,3,"Man: I have a big exam on Thursday, so I'll be spending all day tomorrow reviewing my notes and studying.",,easy
L015,listening,How many people are coming to the party?,About ten,About twenty,About thirty,About fifty,1,Woman: I've sent invitations to all my friends. Around twenty people said they're coming to the party.,,easy
L016,listening,What did the man forget?,His phone,His passport,His ticket,His bag,2,Man: I got to the station and realized I didn't have my ticket. I had to rush back home to get it.,,easy
L017,listening,Where did the woman grow up?,In the city,In the countryside,Near the ocean,In the mountains,2,Woman: I spent my childhood near the beach. I used to swim in the ocean every single day.,,easy
L018,listening,What sport does the man play?,Basketball,Tennis,Football,Swimming,1,Man: I've been playing tennis since I was twelve. I practice at the club every weekend.,,easy
L019,listening,What does the woman think about the movie?,It was excellent,It was boring,It was too long,It was confusing,2,"Woman: The story was interesting, but honestly the movie was way too long. Three hours is just too much.",,easy
L020,listening,How does the man travel to work?,By car,By bicycle,By bus,On foot,1,Man: I cycle to work every morning. It takes about twenty minutes and I get my exercise at the same time.,,easy
L021,listening,What is the main topic of their conversation?,Finding a new apartment,Renovating the kitchen,Buying new furniture,Moving to another city,0,Woman: The rent in my neighborhood has gone up so much. I'm thinking about looking for a new place. Man: That's a good idea. I can help you search online for available apartments.,,medium
L022,listening,What can be inferred about the man?,He has never traveled abroad,He prefers trains to planes,He travels frequently for work,He is afraid of flying,2,Man: This is my fourth business trip this month. I'm starting to feel exhausted from all the traveling.,,medium
L023,listening,What will the woman probably do next?,Call the manager,Leave the store,Ask for a refund,Try a different size,2,Woman: This jacket has a defect — the zipper is completely broken. I only bought it two days ago. I need to speak to someone about getting my money back.,,medium
L024,listening,What does the man imply about his colleague?,She is very hardworking,She often arrives late,She is about to quit,She recently got promoted,1,Man: Sarah has missed the morning briefing three times this week. The boss is starting to notice.,,medium
L025,listening,What problem does the woman mention?,Her computer crashed,The internet is slow,The printer is broken,The software has a bug,2,"Woman: I need to submit this document by noon, but the printer keeps jamming. Every time I try, the paper gets stuck inside.",,medium
L026,listening,What does the man say about the new policy?,He strongly supports it,He finds it unnecessary,He thinks it needs improvement,He is completely neutral,2,"Man: The policy is a step in the right direction, but there are a few areas that still need to be revised before it's fully effective.",,medium
L027,listening,Why is the woman unable to attend the conference?,She has another meeting,She is traveling overseas,She is not feeling well,She wasn't invited,2,Woman: I woke up with a fever this morning. There is no way I can make it to the conference today.,,medium
L028,listening,What does the conversation suggest about the project?,It is ahead of schedule,It has been completed,It is facing delays,It was cancelled,2,Man: We've had several unexpected issues this week. I'm worried we won't be able to meet the original deadline. Woman: We should notify the client as soon as possible.,,medium
L029,listening,What is the woman's opinion of the new manager?,She respects his experience,She thinks he is too strict,She finds him approachable,She is unsure about him,3,Woman: He's only been here for two weeks. It's still too early to form a proper opinion about his leadership style.,,medium
L030,listening,What will the man do after the meeting?,Send a report to the director,Revise the budget proposal,Call an overseas client,Take the rest of the day off,0,"Man: Once the meeting wraps up, I need to put together a summary and send it directly to the director before end of day.",,medium
L031,listening,What is the announcement about?,A store closure,A new product launch,A seasonal sale,A change in store hours,2,Announcement: Attention all shoppers. Our annual end-of-year sale begins this Friday. All items will be discounted by up to fifty percent for one week only.,,medium
